Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xGA,Poss,Captain,Formation,Referee,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,FK,PK,PKatt,XG,npxG,npxG/Sh,G-xG,np:G-xG,Team,Season
2020-09-21,1900-01-01 20:15:00,Matchweek 2,Mon,Away,W,3.0,1.0,Wolves,0.6,65.0,Fernandinho,4-2-3-1,Andre Marriner,3.0,13.0,8.0,61.5,0.15,0.25,2.0,1.0,1.0,1.9,1.1,0.09,1.1,0.9,ManchesterCity,2020-2021
2020-09-27,1900-01-01 16:30:00,Matchweek 3,Sun,Home,L,2.0,5.0,Leicester City,2.9,72.0,Fernandinho,4-2-3-1,Michael Oliver,2.0,16.0,5.0,31.3,0.13,0.4,1.0,0.0,0.0,0.9,0.9,0.05,1.1,1.1,ManchesterCity,2020-2021
2020-10-03,1900-01-01 17:30:00,Matchweek 4,Sat,Away,D,1.0,1.0,Leeds United,2.4,49.0,Kevin De Bruyne,4-3-3,Mike Dean,1.0,23.0,1.0,4.3,0.04,1.0,1.0,0.0,0.0,1.2,1.2,0.05,-0.2,-0.2,ManchesterCity,2020-2021
2020-10-17,1900-01-01 17:30:00,Matchweek 5,Sat,Home,W,1.0,0.0,Arsenal,0.9,58.0,Raheem Sterling,3-1-4-2,Chris Kavanagh,1.0,13.0,5.0,38.5,0.08,0.2,0.0,0.0,0.0,1.3,1.3,0.11,-0.3,-0.3,ManchesterCity,2020-2021
2020-10-24,1900-01-01 12:30:00,Matchweek 6,Sat,Away,D,1.0,1.0,West Ham,0.3,69.0,Raheem Sterling,4-3-3,Anthony Taylor,1.0,14.0,7.0,50.0,0.07,0.14,1.0,0.0,0.0,1.0,1.0,0.07,0.0,0.0,ManchesterCity,2020-2021
2020-10-31,1900-01-01 12:30:00,Matchweek 7,Sat,Away,W,1.0,0.0,Sheffield Utd,0.5,65.0,Kevin De Bruyne,4-3-3,Michael Oliver,1.0,16.0,8.0,50.0,0.06,0.13,2.0,0.0,0.0,1.6,1.6,0.1,-0.6,-0.6,ManchesterCity,2020-2021
2020-11-08,1900-01-01 16:30:00,Matchweek 8,Sun,Home,D,1.0,1.0,Liverpool,1.2,54.0,Kevin De Bruyne,4-2-3-1,Craig Pawson,1.0,6.0,2.0,33.3,0.17,0.5,0.0,0.0,1.0,1.4,0.6,0.1,-0.4,0.4,ManchesterCity,2020-2021
2020-11-21,1900-01-01 17:30:00,Matchweek 9,Sat,Away,L,0.0,2.0,Tottenham,0.7,66.0,Kevin De Bruyne,4-3-3,Mike Dean,0.0,22.0,5.0,22.7,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.07,-1.4,-1.4,ManchesterCity,2020-2021
2020-11-28,1900-01-01 15:00:00,Matchweek 10,Sat,Home,W,5.0,0.0,Burnley,0.5,68.0,Kevin De Bruyne,4-2-3-1,Lee Mason,5.0,19.0,6.0,31.6,0.26,0.83,0.0,0.0,0.0,1.7,1.7,0.09,3.3,3.3,ManchesterCity,2020-2021
2020-12-05,1900-01-01 15:00:00,Matchweek 11,Sat,Home,W,2.0,0.0,Fulham,0.3,69.0,Kevin De Bruyne,4-2-3-1,Jonathan Moss,2.0,14.0,4.0,28.6,0.07,0.25,0.0,1.0,1.0,2.9,2.1,0.15,-0.9,-1.1,ManchesterCity,2020-2021
2020-12-12,1900-01-01 17:30:00,Matchweek 12,Sat,Away,D,0.0,0.0,Manchester Utd,0.6,54.0,Fernandinho,4-2-3-1,Chris Kavanagh,0.0,9.0,2.0,22.2,0.0,0.0,1.0,0.0,0.0,1.3,1.3,0.15,-1.3,-1.3,ManchesterCity,2020-2021
2020-12-15,1900-01-01 20:00:00,Matchweek 13,Tue,Home,D,1.0,1.0,West Brom,0.4,77.0,Kevin De Bruyne,4-2-3-1,Peter Bankes,1.0,26.0,7.0,26.9,0.04,0.14,2.0,0.0,0.0,2.2,2.2,0.09,-1.2,-1.2,ManchesterCity,2020-2021
2020-12-19,1900-01-01 15:00:00,Matchweek 14,Sat,Away,W,1.0,0.0,Southampton,0.7,52.0,Kevin De Bruyne,4-2-3-1,Mike Dean,1.0,11.0,5.0,45.5,0.09,0.2,0.0,0.0,0.0,0.9,0.9,0.08,0.1,0.1,ManchesterCity,2020-2021
2020-12-26,1900-01-01 20:00:00,Matchweek 15,Sat,Home,W,2.0,0.0,Newcastle Utd,0.3,74.0,Kevin De Bruyne,3-4-3◆,Andre Marriner,2.0,11.0,6.0,54.5,0.18,0.33,0.0,0.0,0.0,3.0,3.0,0.27,-1.0,-1.0,ManchesterCity,2020-2021
2021-01-03,1900-01-01 16:30:00,Matchweek 17,Sun,Away,W,3.0,1.0,Chelsea,0.8,46.0,Kevin De Bruyne,4-3-3,Anthony Taylor,3.0,18.0,6.0,33.3,0.17,0.5,1.0,0.0,0.0,2.7,2.7,0.15,0.3,0.3,ManchesterCity,2020-2021
2021-01-13,1900-01-01 18:00:00,Matchweek 18,Wed,Home,W,1.0,0.0,Brighton,0.2,65.0,Kevin De Bruyne,4-3-3,Darren England,1.0,15.0,6.0,40.0,0.07,0.17,0.0,0.0,1.0,2.0,1.2,0.08,-1.0,-0.2,ManchesterCity,2020-2021
2021-01-17,1900-01-01 19:15:00,Matchweek 19,Sun,Home,W,4.0,0.0,Crystal Palace,0.1,71.0,Fernandinho,4-3-3,Lee Mason,4.0,13.0,6.0,46.2,0.31,0.67,2.0,0.0,0.0,0.7,0.7,0.05,3.3,3.3,ManchesterCity,2020-2021
2021-01-20,1900-01-01 18:00:00,Matchweek 1,Wed,Home,W,2.0,0.0,Aston Villa,0.6,69.0,Kevin De Bruyne,4-3-3,Jonathan Moss,2.0,27.0,8.0,29.6,0.04,0.13,0.0,1.0,1.0,3.4,2.6,0.11,-1.4,-1.6,ManchesterCity,2020-2021
2021-01-26,1900-01-01 20:15:00,Matchweek 20,Tue,Away,W,5.0,0.0,West Brom,0.5,77.0,Raheem Sterling,4-3-3,Chris Kavanagh,5.0,18.0,7.0,38.9,0.28,0.71,0.0,0.0,0.0,1.8,1.8,0.1,3.2,3.2,ManchesterCity,2020-2021
2021-01-30,1900-01-01 15:00:00,Matchweek 21,Sat,Home,W,1.0,0.0,Sheffield Utd,0.2,75.0,Fernandinho,4-3-3,David Coote,1.0,10.0,5.0,50.0,0.1,0.2,0.0,0.0,0.0,1.5,1.5,0.16,-0.5,-0.5,ManchesterCity,2020-2021
2021-02-03,1900-01-01 18:00:00,Matchweek 22,Wed,Away,W,2.0,0.0,Burnley,0.1,74.0,Raheem Sterling,4-3-3,Martin Atkinson,2.0,13.0,6.0,46.2,0.15,0.33,0.0,0.0,0.0,2.0,2.0,0.16,0.0,0.0,ManchesterCity,2020-2021
2021-02-07,1900-01-01 16:30:00,Matchweek 23,Sun,Away,W,4.0,1.0,Liverpool,1.2,44.0,Raheem Sterling,4-3-3,Michael Oliver,4.0,7.0,5.0,71.4,0.57,0.8,0.0,0.0,1.0,3.5,2.7,0.42,0.5,1.3,ManchesterCity,2020-2021
2021-02-13,1900-01-01 17:30:00,Matchweek 24,Sat,Home,W,3.0,0.0,Tottenham,0.3,60.0,Raheem Sterling,4-3-3,Paul Tierney,3.0,14.0,5.0,35.7,0.14,0.4,0.0,1.0,1.0,2.2,1.4,0.1,0.8,0.6,ManchesterCity,2020-2021
2021-02-17,1900-01-01 20:15:00,Matchweek 16,Wed,Away,W,3.0,1.0,Everton,1.0,71.0,Raheem Sterling,4-3-3,Andre Marriner,3.0,16.0,7.0,43.8,0.19,0.43,0.0,0.0,0.0,1.0,1.0,0.06,2.0,2.0,ManchesterCity,2020-2021
2021-02-21,1900-01-01 16:30:00,Matchweek 25,Sun,Away,W,1.0,0.0,Arsenal,0.3,55.0,Fernandinho,4-3-3,Jonathan Moss,1.0,15.0,3.0,20.0,0.07,0.33,0.0,0.0,0.0,1.8,1.8,0.12,-0.8,-0.8,ManchesterCity,2020-2021
